Y,X1,X2
0,Mafil,C—ndor
0,Mafil,PilpilŽn
0,Mafil,Aguilucho de Cola Rojiza
0,Mafil,Aguilucho Chico
0,Mafil,Carpintero Negro
0,Mafil,Rana Grande de Hojarasca
0,Mafil,Rana de Pecho Espinoso
0,Mafil,Rana Verde
0,Mafil,Tortuga Verde
0,Mafil,Marsopa Espinosa
0,Mafil,Delf’n Chileno
0,Mafil,Ballena Azul
0,Mafil,Ballena de Sei
0,Mafil,Ballena de Aleta
0,Mafil,Chungungo
6,Mafil,Huillin
0,Mafil,Pudu Sure–o
0,Mafil,Monito del Monte Sure–o
0,Mafil,Comadrejita Trompuda
4,Mafil,Carpa Europea
0,Mafil,Gui–a
0,Mafil,Pejerrey Chileno
0,Mafil,Gaviota Garuma
0,Mafil,Gaviot’n Elegante
0,Mafil,Fardela Blanca
0,Mafil,Fardela Negra
0,Mafil,Zorro Chilote
0,Mafil,Lagartija del Volc‡n Villarica
0,Mafil,Guanay
0,Mafil,Lile
0,Mafil,Culebra de Cola Corta
0,Mafil,Chorlo Nevado
0,Rio Bueno,Pinguino de Magallanes
0,Rio Bueno,Pinguino de Humboldt
0,Rio Bueno,Zarapito de Pico Recto
0,Rio Bueno,Yunco
0,Rio Bueno,Fardela Negra Grande
0,Rio Bueno,Pel’cano
0,Rio Bueno,Gaviot’n Monja
0,Rio Bueno,C—ndor
0,Rio Bueno,PilpilŽn
0,Rio Bueno,Aguilucho de Cola Rojiza
0,Rio Bueno,Aguilucho Chico
13,Rio Bueno,Carpintero Negro
0,Rio Bueno,Rana Grande de Hojarasca
0,Rio Bueno,Rana de Pecho Espinoso
0,Rio Bueno,Rana Verde
0,Rio Bueno,Tortuga Verde
0,Rio Bueno,Marsopa Espinosa
0,Rio Bueno,Delf’n Chileno
0,Rio Bueno,Ballena Azul
0,Rio Bueno,Ballena de Sei
0,Rio Bueno,Ballena de Aleta
0,Rio Bueno,Chungungo
18,Rio Bueno,Huillin
6,Rio Bueno,Pudu Sure–o
15,Rio Bueno,Monito del Monte Sure–o
0,Rio Bueno,Comadrejita Trompuda
0,Rio Bueno,Carpa Europea
15,Rio Bueno,Gui–a
0,Rio Bueno,Pejerrey Chileno
0,Rio Bueno,Gaviota Garuma
0,Rio Bueno,Gaviot’n Elegante
0,Rio Bueno,Fardela Blanca
0,Rio Bueno,Fardela Negra
0,Rio Bueno,Zorro Chilote
0,Rio Bueno,Lagartija del Volc‡n Villarica
0,Rio Bueno,Guanay
0,Rio Bueno,Lile
5,Rio Bueno,Culebra de Cola Corta
0,Rio Bueno,Chorlo Nevado
0,Lanco,Pinguino de Magallanes
0,Lanco,Pinguino de Humboldt
0,Lanco,Zarapito de Pico Recto
0,Lanco,Yunco
0,Lanco,Fardela Negra Grande
0,Lanco,Pel’cano
0,Lanco,Gaviot’n Monja
0,Lanco,C—ndor
0,Lanco,PilpilŽn
0,Lanco,Aguilucho de Cola Rojiza
0,Lanco,Aguilucho Chico
0,Lanco,Carpintero Negro
3,Lanco,Rana Grande de Hojarasca
0,Lanco,Rana de Pecho Espinoso
0,Lanco,Rana Verde
0,Lanco,Tortuga Verde
0,Lanco,Marsopa Espinosa
0,Lanco,Delf’n Chileno
0,Lanco,Ballena Azul
0,Lanco,Ballena de Sei
0,Lanco,Ballena de Aleta
0,Lanco,Chungungo
0,Lanco,Huillin
0,Lanco,Pudu Sure–o
0,Lanco,Monito del Monte Sure–o
0,Lanco,Comadrejita Trompuda
0,Lanco,Carpa Europea
1,Lanco,Gui–a
0,Lanco,Pejerrey Chileno
0,Lanco,Gaviota Garuma
0,Lanco,Gaviot’n Elegante
0,Lanco,Fardela Blanca
0,Lanco,Fardela Negra
0,Lanco,Zorro Chilote
0,Lanco,Lagartija del Volc‡n Villarica
0,Lanco,Guanay
0,Lanco,Lile
0,Lanco,Culebra de Cola Corta
0,Lanco,Chorlo Nevado
30,San JosŽ de Mariquina,Pinguino de Magallanes
8,San JosŽ de Mariquina,Pinguino de Humboldt
0,San JosŽ de Mariquina,Zarapito de Pico Recto
0,San JosŽ de Mariquina,Yunco
0,San JosŽ de Mariquina,Fardela Negra Grande
7,San JosŽ de Mariquina,Pel’cano
6,San JosŽ de Mariquina,Gaviot’n Monja
0,San JosŽ de Mariquina,C—ndor
0,San JosŽ de Mariquina,PilpilŽn
0,San JosŽ de Mariquina,Aguilucho de Cola Rojiza
2,San JosŽ de Mariquina,Aguilucho Chico
6,San JosŽ de Mariquina,Carpintero Negro
35,San JosŽ de Mariquina,Rana Grande de Hojarasca
0,San JosŽ de Mariquina,Rana de Pecho Espinoso
29,San JosŽ de Mariquina,Rana Verde
3,San JosŽ de Mariquina,Tortuga Verde
0,San JosŽ de Mariquina,Marsopa Espinosa
8,San JosŽ de Mariquina,Delf’n Chileno
0,San JosŽ de Mariquina,Ballena Azul
0,San JosŽ de Mariquina,Ballena de Sei
0,San JosŽ de Mariquina,Ballena de Aleta
7,San JosŽ de Mariquina,Chungungo
18,San JosŽ de Mariquina,Huillin
13,San JosŽ de Mariquina,Pudu Sure–o
0,San JosŽ de Mariquina,Monito del Monte Sure–o
1,San JosŽ de Mariquina,Comadrejita Trompuda
0,San JosŽ de Mariquina,Carpa Europea
9,San JosŽ de Mariquina,Gui–a
0,San JosŽ de Mariquina,Pejerrey Chileno
3,San JosŽ de Mariquina,Gaviota Garuma
3,San JosŽ de Mariquina,Gaviot’n Elegante
3,San JosŽ de Mariquina,Fardela Blanca
2,San JosŽ de Mariquina,Fardela Negra
9,San JosŽ de Mariquina,Zorro Chilote
0,San JosŽ de Mariquina,Lagartija del Volc‡n Villarica
2,San JosŽ de Mariquina,Guanay
16,San JosŽ de Mariquina,Lile
4,San JosŽ de Mariquina,Culebra de Cola Corta
0,San JosŽ de Mariquina,Chorlo Nevado
0,Futrono,Pinguino de Magallanes
0,Futrono,Pinguino de Humboldt
0,Futrono,Zarapito de Pico Recto
0,Futrono,Yunco
0,Futrono,Fardela Negra Grande
0,Futrono,Pel’cano
0,Futrono,Gaviot’n Monja
0,Futrono,C—ndor
0,Futrono,PilpilŽn
0,Futrono,Aguilucho de Cola Rojiza
0,Futrono,Aguilucho Chico
0,Futrono,Carpintero Negro
0,Futrono,Rana Grande de Hojarasca
0,Futrono,Rana de Pecho Espinoso
0,Futrono,Rana Verde
0,Futrono,Tortuga Verde
0,Futrono,Marsopa Espinosa
0,Futrono,Delf’n Chileno
0,Futrono,Ballena Azul
0,Futrono,Ballena de Sei
0,Futrono,Ballena de Aleta
0,Futrono,Chungungo
2,Futrono,Huillin
0,Futrono,Pudu Sure–o
0,Futrono,Monito del Monte Sure–o
0,Futrono,Comadrejita Trompuda
0,Futrono,Carpa Europea
0,Futrono,Gui–a
0,Futrono,Pejerrey Chileno
0,Futrono,Gaviota Garuma
0,Futrono,Gaviot’n Elegante
0,Futrono,Fardela Blanca
0,Futrono,Fardela Negra
0,Futrono,Zorro Chilote
0,Futrono,Lagartija del Volc‡n Villarica
0,Futrono,Guanay
0,Futrono,Lile
0,Futrono,Culebra de Cola Corta
0,Futrono,Chorlo Nevado
0,Paillaco,Pinguino de Magallanes
0,Paillaco,Pinguino de Humboldt
0,Paillaco,Zarapito de Pico Recto
0,Paillaco,Yunco
0,Paillaco,Fardela Negra Grande
0,Paillaco,Pel’cano
0,Paillaco,Gaviot’n Monja
0,Paillaco,C—ndor
0,Paillaco,PilpilŽn
10,Paillaco,Aguilucho de Cola Rojiza
2,Paillaco,Aguilucho Chico
0,Paillaco,Carpintero Negro
0,Paillaco,Rana Grande de Hojarasca
8,Paillaco,Rana de Pecho Espinoso
0,Paillaco,Rana Verde
0,Paillaco,Tortuga Verde
0,Paillaco,Marsopa Espinosa
0,Paillaco,Delf’n Chileno
0,Paillaco,Ballena Azul
0,Paillaco,Ballena de Sei
0,Paillaco,Ballena de Aleta
0,Paillaco,Chungungo
3,Paillaco,Huillin
0,Paillaco,Pudu Sure–o
7,Paillaco,Monito del Monte Sure–o
0,Paillaco,Comadrejita Trompuda
0,Paillaco,Carpa Europea
12,Paillaco,Gui–a
0,Paillaco,Pejerrey Chileno
0,Paillaco,Gaviota Garuma
0,Paillaco,Gaviot’n Elegante
0,Paillaco,Fardela Blanca
0,Paillaco,Fardela Negra
0,Paillaco,Zorro Chilote
0,Paillaco,Lagartija del Volc‡n Villarica
0,Paillaco,Guanay
0,Paillaco,Lile
4,Paillaco,Culebra de Cola Corta
0,Paillaco,Chorlo Nevado
